"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"fName","0.0","fName-{PlayersDbPedia_1440|PlayerComplete_5921}","{Arkadiusz|A.}","Arkadiusz",,
"fName","0.0","fName-{PlayerComplete_4571|PlayersDbPedia_3827}","{A.|Pascal}","Pascal",,
"nationality","1.0","nationality-{PlayerComplete_8242}","{Uruguay}","Uruguay",,
"fName","0.0","fName-{PlayerComplete_17074|PlayersDbPedia_1436}","{V.|Arjon}","Arjon",,
"fName","0.0","fName-{PlayersDbPedia_4095|PlayerComplete_17810}","{Riccardo|R.}","Riccardo",,
"lName","1.0","lName-{PlayersDbPedia_2067|PlayerComplete_9176}","{Bologna|Bologna}","Bologna",,
"nationality","1.0","nationality-{PlayerComplete_13297}","{Netherlands}","Netherlands",,
"nationality","1.0","nationality-{PlayerComplete_14809}","{Switzerland}","Switzerland",,
"lName","1.0","lName-{PlayerComplete_8242|PlayersDbPedia_3037}","{Burián|Burián}","Burián",,
"fName","0.0","fName-{PlayerComplete_1662|PlayersDbPedia_4217}","{S.|Salvatore}","Salvatore",,
"fName","0.0","fName-{PlayersDbPedia_3879|PlayerComplete_13684}","{Pavel|V.}","Pavel",,
"nationality","1.0","nationality-{PlayerComplete_1814}","{Argentina}","Argentina",,
"lName","1.0","lName-{PlayersDbPedia_3186|PlayerComplete_1814}","{Barovero|Barovero}","Barovero",,
"fName","0.0","fName-{PlayersDbPedia_1585|PlayerComplete_4967}","{Bruno|Ricardo}","Ricardo",,
"lName","1.0","lName-{PlayersDbPedia_1572|PlayerComplete_7490}","{López|López}","López",,
"lName","1.0","lName-{PlayerComplete_2261|PlayersDbPedia_3961}","{Gulácsi|Gulácsi}","Gulácsi",,
"lName","1.0","lName-{PlayerComplete_13297|PlayersDbPedia_3677}","{Bertrams|Bertrams}","Bertrams",,
"fName","0.0","fName-{PlayerComplete_18657|PlayersDbPedia_2115}","{A.|Evangelos}","Evangelos",,
"fName","0.0","fName-{PlayersDbPedia_1157|PlayerComplete_9293}","{Aleksandr|A.}","Aleksandr",,
