"Blocking Key Value","Frequency"
"NI","480"
"WA","452"
"GÓ","442"
"AS","430"
"QU","400"
"SÁ","380"
"BL","360"
"RU","354"
"TU","348"
"CI","342"
"KO","10985"
"KL","341"
"PE","10710"
"SK","319"
"HA","10290"
"BO","9618"
"ME","7104"
"MI","6952"
"CO","6575"
"GA","6468"
"BR","6014"
"LA","5976"
"MA","60200"
"CA","33495"
"","26390"
"BA","23814"
"SA","22494"
"MO","16124"
"BE","14634"
"KA","14457"
"PA","13975"
"RO","12720"
"ST","5814"
"AL","5600"
"CH","5560"
"TA","5460"
"PI","5350"
"VI","4875"
"HE","4788"
"SI","4736"
"BU","4551"
"LE","4455"
"NA","4320"
"PO","4256"
"DE","3950"
"LO","3840"
"RA","3807"
"GO","3520"
"VA","3302"
"MU","3294"
"FA","3045"
"SO","3025"
"SC","2934"
"DO","2806"
"GR","2780"
"AR","2646"
"AN","2451"
"SE","2438"
"DA","2412"
"JA","2261"
"FE","2204"
"LI","2059"
"HO","2030"
"GU","1900"
"FR","1848"
"VE","1744"
"TO","1728"
"GI","1725"
"NO","1690"
"RI","1485"
"KE","1380"
"ZA","1344"
"KU","1330"
"BI","1309"
"DU","1248"
"WI","1243"
"KI","1241"
"KR","1120"
"FO","1092"
"SH","1053"
"RE","1044"
"JO","980"
"LU","913"
"CE","900"
"SU","870"
"DI","854"
"OL","848"
"PR","768"
"AG","700"
"AB,TE","693"
"FI","684"
"YA","672"
"HU","660"
"GE","603"
"AM","583"
"NE","572"
"TR","497"
"CL","496"
"EL","495"
"TH","483"
