"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerFNameComparatorFirstLetter-record1Value","0-PlayerFNameComparatorFirstLetter-record2Value","0-PlayerFNameComparatorFirstLetter-record1PreprocessedValue","0-PlayerFNameComparatorFirstLetter-record2PreprocessedValue","0-PlayerFNameComparatorFirstLetter-similarity","0-PlayerFNameComparatorFirstLetter-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity","2-PlayerLNameComparatorJaccard-record1Value","2-PlayerLNameComparatorJaccard-record2Value","2-PlayerLNameComparatorJaccard-record1PreprocessedValue","2-PlayerLNameComparatorJaccard-record2PreprocessedValue","2-PlayerLNameComparatorJaccard-similarity","2-PlayerLNameComparatorJaccard-postproccesedSimilarity","3-PlayerLNameComparatorLevenshtein-record1Value","3-PlayerLNameComparatorLevenshtein-record2Value","3-PlayerLNameComparatorLevenshtein-record1PreprocessedValue","3-PlayerLNameComparatorLevenshtein-record2PreprocessedValue","3-PlayerLNameComparatorLevenshtein-similarity","3-PlayerLNameComparatorLevenshtein-postproccesedSimilarity","4-PlayerNationaltyComparatorEqual-record1Value","4-PlayerNationaltyComparatorEqual-record2Value","4-PlayerNationaltyComparatorEqual-record1PreprocessedValue","4-PlayerNationaltyComparatorEqual-record2PreprocessedValue","4-PlayerNationaltyComparatorEqual-similarity","4-PlayerNationaltyComparatorEqual-postproccesedSimilarity"
"WekaMatchingRule","PlayerComplete_3129","newplayerTeamData_1069","0.7865658056643267",,"enaldo","","enaldo","","0.0","0.0","enaldo","","enaldo","","0.0","0.0","praz","","praz","","0.0","0.0","praz","","praz","","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16608","newplayerTeamData_1233","0.7865658056643267",,"a.","varane","a.","varane","0.0","0.0","a.","varane","a.","varane","0.0","0.0","llovet","raphael","llovet","raphael","0.0","0.0","llovet","raphael","llovet","raphael","0.1428571428571429","0.1428571428571429","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16608","newplayerTeamData_1232","0.7865658056643267",,"a.","kimpembe","a.","kimpembe","0.0","0.0","a.","kimpembe","a.","kimpembe","0.0","0.0","llovet","presnel","llovet","presnel","0.0","0.0","llovet","presnel","llovet","presnel","0.1428571428571429","0.1428571428571429","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10264","newplayerTeamData_1265","0.7865658056643267",,"d.","mueller","d.","mueller","0.0","0.0","d.","mueller","d.","mueller","0.0","0.0","mast","thomas","mast","thomas","0.0","0.0","mast","thomas","mast","thomas","0.33333333333333337","0.33333333333333337","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_1984","newplayerTeamData_1628","0.7865658056643267",,"jordi","","jordi","","0.0","0.0","jordi","","jordi","","0.0","0.0","amat","","amat","","0.0","0.0","amat","","amat","","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0"
"WekaMatchingRule","PlayerComplete_1984","newplayerTeamData_1629","0.7865658056643267",,"jordi","","jordi","","0.0","0.0","jordi","","jordi","","0.0","0.0","amat","","amat","","0.0","0.0","amat","","amat","","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10264","newplayerTeamData_1264","0.7865658056643267",,"d.","trapp","d.","trapp","0.0","0.0","d.","trapp","d.","trapp","0.0","0.0","mast","kevin","mast","kevin","0.0","0.0","mast","kevin","mast","kevin","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_2476","newplayerTeamData_1089","0.7865658056643267",,"fred","","fred","","0.0","0.0","fred","","fred","","0.0","0.0","aníbão","","aníbão","","0.0","0.0","aníbão","","aníbão","","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6702","newplayerTeamData_1291","0.7865658056643267",,"a.","skulason","a.","skulason","0.0","0.0","a.","skulason","a.","skulason","0.0","0.0","gunnarsson","olafur","gunnarsson","olafur","0.0","0.0","gunnarsson","olafur","gunnarsson","olafur","0.09999999999999998","0.09999999999999998","Iceland","Iceland","Iceland","Iceland","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6702","newplayerTeamData_1290","0.7865658056643267",,"a.","eyjolfsson","a.","eyjolfsson","0.0","0.0","a.","eyjolfsson","a.","eyjolfsson","0.0","0.0","gunnarsson","holmar","gunnarsson","holmar","0.0","0.0","gunnarsson","holmar","gunnarsson","holmar","0.19999999999999996","0.19999999999999996","Iceland","Iceland","Iceland","Iceland","1.0","1.0"
